timestamp,symbol,close
2026-05-11T00:00:00+00:00,AUDUSD,0.7233600000
2026-05-11T00:15:00+00:00,AUDUSD,0.7237600000
2026-05-11T00:30:00+00:00,AUDUSD,0.7237850000
2026-05-11T00:45:00+00:00,AUDUSD,0.7238000000
2026-05-11T01:00:00+00:00,AUDUSD,0.7234300000
2026-05-11T01:15:00+00:00,AUDUSD,0.7236000000
2026-05-11T01:30:00+00:00,AUDUSD,0.7230250000
2026-05-11T01:45:00+00:00,AUDUSD,0.7233600000
2026-05-11T02:00:00+00:00,AUDUSD,0.7234550000
2026-05-11T02:15:00+00:00,AUDUSD,0.7236500000
2026-05-11T02:30:00+00:00,AUDUSD,0.7232550000
2026-05-11T02:45:00+00:00,AUDUSD,0.7229950000
2026-05-11T03:00:00+00:00,AUDUSD,0.7231450000
2026-05-11T03:15:00+00:00,AUDUSD,0.7231650000
2026-05-11T03:30:00+00:00,AUDUSD,0.7232500000
2026-05-11T03:45:00+00:00,AUDUSD,0.7229200000
2026-05-11T04:00:00+00:00,AUDUSD,0.7228100000
2026-05-11T04:15:00+00:00,AUDUSD,0.7226200000
2026-05-11T04:30:00+00:00,AUDUSD,0.7226000000
2026-05-11T04:45:00+00:00,AUDUSD,0.7227200000
2026-05-11T05:00:00+00:00,AUDUSD,0.7231000000
2026-05-11T05:15:00+00:00,AUDUSD,0.7231250000
2026-05-11T05:30:00+00:00,AUDUSD,0.7227600000
2026-05-11T05:45:00+00:00,AUDUSD,0.7229650000
2026-05-11T06:00:00+00:00,AUDUSD,0.7238250000
2026-05-11T06:15:00+00:00,AUDUSD,0.7237650000
2026-05-11T06:30:00+00:00,AUDUSD,0.7239900000
2026-05-11T06:45:00+00:00,AUDUSD,0.7241200000
2026-05-11T07:00:00+00:00,AUDUSD,0.7240200000
2026-05-11T07:15:00+00:00,AUDUSD,0.7239850000
2026-05-11T07:30:00+00:00,AUDUSD,0.7239200000
2026-05-11T07:45:00+00:00,AUDUSD,0.7240400000
2026-05-11T08:00:00+00:00,AUDUSD,0.7242250000
2026-05-11T08:15:00+00:00,AUDUSD,0.7242950000
2026-05-11T08:30:00+00:00,AUDUSD,0.7241650000
2026-05-11T08:45:00+00:00,AUDUSD,0.7238350000
2026-05-11T09:00:00+00:00,AUDUSD,0.7239050000
2026-05-11T09:15:00+00:00,AUDUSD,0.7237900000
2026-05-11T09:30:00+00:00,AUDUSD,0.7240100000
2026-05-11T09:45:00+00:00,AUDUSD,0.7236650000
2026-05-11T10:00:00+00:00,AUDUSD,0.7237650000
2026-05-11T10:15:00+00:00,AUDUSD,0.7239500000
2026-05-11T10:30:00+00:00,AUDUSD,0.7241650000
2026-05-11T10:45:00+00:00,AUDUSD,0.7242650000
2026-05-11T11:00:00+00:00,AUDUSD,0.7245550000
2026-05-11T11:15:00+00:00,AUDUSD,0.7246600000
2026-05-11T11:30:00+00:00,AUDUSD,0.7245750000
2026-05-11T11:45:00+00:00,AUDUSD,0.7243250000
2026-05-11T12:00:00+00:00,AUDUSD,0.7240950000
2026-05-11T12:15:00+00:00,AUDUSD,0.7243950000
2026-05-11T12:30:00+00:00,AUDUSD,0.7242950000
2026-05-11T12:45:00+00:00,AUDUSD,0.7243500000
2026-05-11T13:00:00+00:00,AUDUSD,0.7249400000
2026-05-11T13:15:00+00:00,AUDUSD,0.7250800000
2026-05-11T13:30:00+00:00,AUDUSD,0.7255450000
2026-05-11T13:45:00+00:00,AUDUSD,0.7254250000
2026-05-11T14:00:00+00:00,AUDUSD,0.7254350000
2026-05-11T14:15:00+00:00,AUDUSD,0.7256750000
2026-05-11T14:30:00+00:00,AUDUSD,0.7258700000
2026-05-11T14:45:00+00:00,AUDUSD,0.7255950000
2026-05-11T15:00:00+00:00,AUDUSD,0.7254600000
2026-05-11T15:15:00+00:00,AUDUSD,0.7258050000
2026-05-11T15:30:00+00:00,AUDUSD,0.7256900000
2026-05-11T15:45:00+00:00,AUDUSD,0.7257650000
2026-05-11T16:00:00+00:00,AUDUSD,0.7257500000
2026-05-11T16:15:00+00:00,AUDUSD,0.7254050000
2026-05-11T16:30:00+00:00,AUDUSD,0.7250200000
2026-05-11T16:45:00+00:00,AUDUSD,0.7250600000
2026-05-11T17:00:00+00:00,AUDUSD,0.7250350000
2026-05-11T17:15:00+00:00,AUDUSD,0.7251750000
2026-05-11T17:30:00+00:00,AUDUSD,0.7253700000
2026-05-11T17:45:00+00:00,AUDUSD,0.7252500000
2026-05-11T18:00:00+00:00,AUDUSD,0.7253550000
2026-05-11T18:15:00+00:00,AUDUSD,0.7253600000
2026-05-11T18:30:00+00:00,AUDUSD,0.7250550000
2026-05-11T18:45:00+00:00,AUDUSD,0.7248950000
2026-05-11T19:00:00+00:00,AUDUSD,0.7248550000
2026-05-11T19:15:00+00:00,AUDUSD,0.7248000000
2026-05-11T19:30:00+00:00,AUDUSD,0.7248050000
2026-05-11T19:45:00+00:00,AUDUSD,0.7249050000
2026-05-11T20:00:00+00:00,AUDUSD,0.7248250000
2026-05-11T20:15:00+00:00,AUDUSD,0.7248700000
2026-05-11T20:30:00+00:00,AUDUSD,0.7249950000
2026-05-11T20:45:00+00:00,AUDUSD,0.7249600000
2026-05-11T21:00:00+00:00,AUDUSD,0.7247950000
2026-05-11T21:15:00+00:00,AUDUSD,0.7247150000
2026-05-11T21:30:00+00:00,AUDUSD,0.7246850000
2026-05-11T21:45:00+00:00,AUDUSD,0.7250450000
2026-05-11T22:00:00+00:00,AUDUSD,0.7251550000
2026-05-11T22:15:00+00:00,AUDUSD,0.7250900000
2026-05-11T22:30:00+00:00,AUDUSD,0.7250850000
2026-05-11T22:45:00+00:00,AUDUSD,0.7249850000
2026-05-11T23:00:00+00:00,AUDUSD,0.7250950000
2026-05-11T23:15:00+00:00,AUDUSD,0.7248400000
2026-05-11T23:30:00+00:00,AUDUSD,0.7248150000
2026-05-11T23:45:00+00:00,AUDUSD,0.7245900000
2026-05-12T00:00:00+00:00,AUDUSD,0.7241550000
2026-05-12T00:15:00+00:00,AUDUSD,0.7239150000
2026-05-12T00:30:00+00:00,AUDUSD,0.7237050000
2026-05-12T00:45:00+00:00,AUDUSD,0.7234900000
2026-05-12T01:00:00+00:00,AUDUSD,0.7235450000
2026-05-12T01:15:00+00:00,AUDUSD,0.7230500000
2026-05-12T01:30:00+00:00,AUDUSD,0.7229300000
2026-05-12T01:45:00+00:00,AUDUSD,0.7231750000
2026-05-12T02:00:00+00:00,AUDUSD,0.7233650000
2026-05-12T02:15:00+00:00,AUDUSD,0.7230650000
2026-05-12T02:30:00+00:00,AUDUSD,0.7231950000
2026-05-12T02:45:00+00:00,AUDUSD,0.7235150000
2026-05-12T03:00:00+00:00,AUDUSD,0.7232750000
2026-05-12T03:15:00+00:00,AUDUSD,0.7229650000
2026-05-12T03:30:00+00:00,AUDUSD,0.7231250000
