timestamp,symbol,close
2026-06-07T23:45:00+00:00,BARUSD,0.2970000000
2026-06-08T00:00:00+00:00,BARUSD,0.2970000000
2026-06-08T00:15:00+00:00,BARUSD,0.2990000000
2026-06-08T00:30:00+00:00,BARUSD,0.2980000000
2026-06-08T00:45:00+00:00,BARUSD,0.2990000000
2026-06-08T01:00:00+00:00,BARUSD,0.2980000000
2026-06-08T01:15:00+00:00,BARUSD,0.2940000000
2026-06-08T01:30:00+00:00,BARUSD,0.2950000000
2026-06-08T01:45:00+00:00,BARUSD,0.2940000000
2026-06-08T02:00:00+00:00,BARUSD,0.2940000000
2026-06-08T02:15:00+00:00,BARUSD,0.2940000000
2026-06-08T02:30:00+00:00,BARUSD,0.2930000000
2026-06-08T02:45:00+00:00,BARUSD,0.2930000000
2026-06-08T03:00:00+00:00,BARUSD,0.2940000000
2026-06-08T03:15:00+00:00,BARUSD,0.2940000000
2026-06-08T03:30:00+00:00,BARUSD,0.2920000000
2026-06-08T03:45:00+00:00,BARUSD,0.2920000000
2026-06-08T04:00:00+00:00,BARUSD,0.2930000000
2026-06-08T04:15:00+00:00,BARUSD,0.2910000000
2026-06-08T04:30:00+00:00,BARUSD,0.2920000000
2026-06-08T04:45:00+00:00,BARUSD,0.2920000000
2026-06-08T05:00:00+00:00,BARUSD,0.2890000000
2026-06-08T05:15:00+00:00,BARUSD,0.2900000000
2026-06-08T05:30:00+00:00,BARUSD,0.2900000000
2026-06-08T05:45:00+00:00,BARUSD,0.2920000000
2026-06-08T06:00:00+00:00,BARUSD,0.2930000000
2026-06-08T06:15:00+00:00,BARUSD,0.2950000000
2026-06-08T06:30:00+00:00,BARUSD,0.2960000000
2026-06-08T06:45:00+00:00,BARUSD,0.2950000000
2026-06-08T07:00:00+00:00,BARUSD,0.2950000000
2026-06-08T07:15:00+00:00,BARUSD,0.2930000000
2026-06-08T07:30:00+00:00,BARUSD,0.2930000000
2026-06-08T07:45:00+00:00,BARUSD,0.2930000000
2026-06-08T08:00:00+00:00,BARUSD,0.3020000000
2026-06-08T08:15:00+00:00,BARUSD,0.3000000000
2026-06-08T08:30:00+00:00,BARUSD,0.2960000000
2026-06-08T08:45:00+00:00,BARUSD,0.2940000000
2026-06-08T09:00:00+00:00,BARUSD,0.2950000000
2026-06-08T09:15:00+00:00,BARUSD,0.2960000000
2026-06-08T09:30:00+00:00,BARUSD,0.2960000000
2026-06-08T09:45:00+00:00,BARUSD,0.2950000000
2026-06-08T10:00:00+00:00,BARUSD,0.2960000000
2026-06-08T10:15:00+00:00,BARUSD,0.2960000000
2026-06-08T10:30:00+00:00,BARUSD,0.2990000000
2026-06-08T10:45:00+00:00,BARUSD,0.3000000000
2026-06-08T11:00:00+00:00,BARUSD,0.3010000000
2026-06-08T11:15:00+00:00,BARUSD,0.3030000000
2026-06-08T11:30:00+00:00,BARUSD,0.3000000000
2026-06-08T11:45:00+00:00,BARUSD,0.3000000000
2026-06-08T12:00:00+00:00,BARUSD,0.3000000000
2026-06-08T12:15:00+00:00,BARUSD,0.2990000000
2026-06-08T12:30:00+00:00,BARUSD,0.3010000000
2026-06-08T12:45:00+00:00,BARUSD,0.2990000000
2026-06-08T13:00:00+00:00,BARUSD,0.3000000000
2026-06-08T13:15:00+00:00,BARUSD,0.2970000000
2026-06-08T13:30:00+00:00,BARUSD,0.2950000000
2026-06-08T13:45:00+00:00,BARUSD,0.2960000000
2026-06-08T14:00:00+00:00,BARUSD,0.2970000000
2026-06-08T14:15:00+00:00,BARUSD,0.2970000000
2026-06-08T14:30:00+00:00,BARUSD,0.2980000000
